Duke Class Name,Duke Class Code,Duke Description,Cornell Class Name,Cornell Class Code
History of Rock: Rhythm & Blues and Rock & Roll to Indie Rock and Hip-Hop,AAAS 139,"The history of rock music from the 1950s to the present. Beginning with its roots in rhythm and blues, country and western, and commercial pop, examination of diverse musical styles, artists and bands, and the many historical, technological, and cultural factors that have contributed to the rise and popularity of rock music.",History of Rock Music,AMST 1312
"Survival Arabic: Arabic Language and Culture of Lebanon, Jordan, and Palestine",ARABIC 99,"Learning the basic elements of the Arabic language and culture of in Jordan, Lebanon, and Palestine (Shami/Levantine Arabic); developing listening, speaking, reading, writing and cultural proficiencies of the spoken language of this region, memorizing basic survival and communication language skills, learning how to write and read the Arabic alphabet in Modern standard Arabic; Introducing aspects of daily life, society and culture of these three countries. Open to students who have no prior exposure to Arabic language instruction before coming to Duke, and to students who are interested in doing civic engagement or study abroad in the Arabic speaking world.",Gateway to Arabic Language and Culture,ARAB 1100
Cellular Engineering (AC or GE),BME 306L,"This BME area core course offers an engineer's perspective on how cell processes including gene and protein regulation, growth, proliferation, death, differentiation, adhesion and migration can be manipulated to achieve a desired outcome. Mathematical models are applied to quantitatively describe these cell processes. Applications of cell therapies and tissue engineering are examined. Mammalian cell culture techniques including quantitative measurements of viability, proliferation, differentiation, and protein and gene expression are introduced within the laboratory. ",Molecular and Cellular Bioengineering,BEE 3600
"

Introductory Biochemistry II",BIOCHEM 302,"Structure, function, and biosynthesis of biological macromolecules and regulation of their synthesis. Intermediary metabolism and metabolic utilization of energy. Biochemistry of biological membranes, receptors, and signal transduction via membrane receptors.","Principles of Biochemistry, Individualized Instruction",BIOMG 3300
Organic Chemistry I,CHEM 201DL,"The structures and reactions of the compounds of carbon and the impact of selected organic compounds on society. Laboratory: techniques of separation, organic reactions and preparations, and systematic identification of compounds by their spectral and chemical properties.",Introduction to Experimental Organic Chemistry,CHEM 2510
Data Structures and Algorithms,COMPSCI 201,"Analysis, use, and design of data structures and algorithms using an object-oriented language like Java to solve computational problems. Emphasis on abstraction including interfaces and abstract data types for lists, trees, sets, tables/maps, and graphs. Implementation and evaluation of programming techniques including recursion. Intuitive and rigorous analysis of algorithms.",Object-Oriented Programming and Data Structures,CS 2110
"
Introduction to Operating Systems",COMPSCI 310,"Basic concepts and principles of multiprogrammed operating systems. Processes, interprocess communication, CPU scheduling, mutual exclusion, deadlocks, memory management, I/O devices, file systems, protection mechanisms. ",Operating Systems,CS 4410
"
Introduction to Artificial Intelligence",COMPSCI 370D,"Algorithms and representations used in artificial intelligence. Introduction and implementation of algorithms for search, planning, decision, theory, logic, Bayesian networks, robotics and machine learning.",Foundations of Artificial Intelligence,CS 4700
First Year Chinese for Bilingual Learners,CHINESE 131,Designed for students who were raised in a Chinese-speaking environment and who can converse about personal information or daily topics but have little or no reading and writing skills in Mandarin Chinese. Gain knowledge of the etymologies of Chinese characters and writing system. Substantial work on the development of reading and writing competencies in Chinese while continuing to improve aural understanding and speaking competency. Topics focus on issues concerning the aspects of bilingual and bicultural experiences specifically addressed for Chinese heritage learners.,Beginning Chinese Reading and Writing for Students of Chinese Heritage II,CHIN 1110
Japanese Cinema,CINE 255,"An introduction to the history of Japanese cinema focusing on issues including the relation between the tradition-modernity or Japan-West in the development of Japanese cinema, the influence of Japanese films on the theory and practice of cinema abroad, and the ways in which cinema has served as a reflection of and an active agent in the transformation of Japanese society.",Introduction to Japanese Film,PMA 2452
"
Russian Language and Culture through Film",CINE 284S,"Study of Russian cultural paradigms and constructs of self and other as demonstrated in Russia and Soviet films, primarily from 1960s to the present. Special attention given to the analysis of linguistic constructs and their cultural semantic content as well as comparative analyses of Soviet and Russian culture and Russian and European/American culture. Film and computer technology, as well as access to these technologies and their implementation, are a central part of the cultural context.",Elementary Russian Through Film,RUSSA 1122
The Art of Greece and Rome,CLST 250,"Explores profound influence of Greek and Roman artistic legacy on Western art. Innovations include portrait, Baroque style, large-scale painting, public baths, theater. Explore art and architecture of Greece and Rome in social and cultural context, including major technical and aesthetic innovations. Role of artistic agency and patronage. Starts with the Classical age and ends with Christian emperor Constantine.",Greco-Roman Art at Cornell,SHUM 4035
Ancient Roman Law,CLST 308,"Introduction to Roman law, from the Twelve Tables to the Code of Justinian. Students read Roman texts in translation, learn how to use legal texts as sources for Roman history and society, and make connections between Roman law and modern legal systems. No previous knowledge of Latin or Roman history is required.",Roman Law,CLASS 2806
"
Introduction to Cultural Anthropology",CULANTH 101,Theoretical approaches to analyzing cultural beliefs and practices cross-culturally; application of specific approaches to case material from present and/or past cultures.,Introduction to Anthropological Theory,ANTHR 3000
Dance Composition,DANCE 105S,"The basic elements of movement (time, space, weight, flow) and their choreographic applications explored through structured improvisation, short movement studies, viewing of videotaped dances, and selected readings. Experimentation with devices for movement manipulation and choreographic forms through longer movement studies. ",Intermediate Dance Composition I,PMA 3300
Introduction to Embedded Systems,ECE 459,"An introduction to hardware/software codesign of embedded computer systems. Structured programming techniques for high and low level programs. Hardware interfacing strategies for sensors, actuators, and displays. Detailed study of Motorola 68HC11 and 68HC12 microcomputers as applied to embedded system development. Hardware and simulation laboratory exercises with 68HC11 and 68HC12 development boards. Major design project.",Embedded Systems,ECE 3140
Financial Accounting,ECON 174,Introductory course in financial accounting. How and why information is created and communicated. Purposes of financial accounting. Bookkeeping for basic business transactions that map into the statements. Analyze corporate reports. Interpret key financial information. Course is designed for students with little or no background in accounting,Financial Accounting,AEM 2210
"
Econometrics and Data Science",ECON 204D,"This course develops critical-thinking skills necessary to analyze and interpret real world data using modern data science and econometric methods. Students learn to be consumers and producers of empirical research in the sciences. Develop sophisticated understanding of both theoretical underpinnings and challenges in implementation of empirical methods to effectively evaluate quality of evidence and validity of causal inferences. Applications are primarily drawn from economic studies of individuals, firms and markets. ",Econometrics,ECON 3140
Health Economics,"ECON 334
","Economic aspects of the production, distribution, and organization of health care services, such as measuring output, structure of markets, demand for services, pricing of services, cost of care, financing, mechanisms, and their impact on the relevant markets.",Health Economics I,ECON 6410
"
Behavioral Economics",ECON 462,"Introduction to the insights gained from incorporating psychology into economic modeling. Based exclusively on original, often recent, scientific publications. Focus on empirical evidence, theoretical models and economic implications. Equilibrium analysis is essential analytical tool. Participants will each give a presentation of a scientific paper from the reading list",Behavioral Economics and Public Policy,ECON 3670
Introduction to Creative Writing,ENGLISH 110S,A multi-genre course designed for students who have little or no previous experience producing imaginative literary texts.,Creative Writing,ENGL 2800
"
Global Warming",EOS 355,"Broad, interdisciplinary course on the observations, causes, and consequences of climate change. Course will cover modern and paleoclimate observations, human and natural drivers, and links between drivers and responses. Building on this physical science base, course will then analyze how socioeconomic choices affect future climate as well as the factors influencing those choices, including risk analyses, geoengineering proposals, climate metrics and the media.",Climate and Global Warming,EAS 2680
"
Elementary French 1",FRENCH 101,"
The course offers an introduction to the French language, and aspects of French and Francophone cultures via interactive content and classes. Students build a strong foundation to communicate and exchange with French speakers in varied social interactions, comprehend short, authentic materials, and share opinions on personal and societal topics. Equal attention to speaking, listening comprehension, reading, and writing. Conducted in French. ",Elementary French,FREN 1220
"
Reading Literature in French",FRENCH 306S,"What is literature? Why read literature today? And how do we talk about what we read? This seminar offers an initiation to literature in French from the Enlightenment to the digital age. It introduces a wide range of critical and theoretical tools to study literature and its uses, and aims at developing writing and argumentation across a range of literary genres (theater, essay, novel, poetry...). This seminar explores how most urgent political and philosophical issues of the ages can be read through and unraveled within literary texts. Authors studied may include Montesquieu, Diderot, Balzac, Baudelaire, Flaubert, Sartre, Césaire, Michaux, Duras, Fanon, Perec, and Modiano.",Readings in Modern French Literature and Culture,FREN 3210
Fundamentals of Global Health,GLHLTH 101,"
Introduction to global health issues and challenges. Develop an understanding of key concepts, tools, and frameworks essential for continued study in global health. Focus on global disease burden, health determinants and disparities, health policy and actors, and challenges of global health interventions. Explore the importance of understanding and addressing global health through multidisciplinary frameworks of the natural sciences, social-behavioral sciences, humanities, and policy.",Introduction to Global Health,NS 2600
Elementary Greek,GREEK 101,"Structure of the Greek language (grammatical forms, syntax, vocabulary, and pronunciation); introduction to reading.",Elementary Ancient Greek II,GREEK 1102
Greek Philosophy,GREEK 308S,"
Philosophy. Investigation into key trends, themes, developments in Greek Philosophy, especially moral and political, through readings from the Pre-Socratic philosophers, Plato, Aristotle, Epicurus, and/or others.",Greek Philosophical Texts,PHIL 6010
Introduction to LGBTQ Studies,GSF 202S,"Topics include homosexuality and theory, history, law, religion, education, the arts and literature, the military, and the health sciences.","Introduction to Lesbian, Gay, Bisexual, and Transgender Studies",FGSS 2290
