,Professor,A+,Semester (Ex: SP21),# of Students,Notes,@
phys,Various (FWS),A+,FA23,64,2-3 graded essays & interesting assigned readings,
AAS 2130,Chang,A,FA21,52,"crosslisted with AMST 2640, HIST 2640",
AAS 2130,Moghimi,A,FA21,,,
AAS 2130        ,van Es,A+,SP23,239, ,
AEM 1200,Sauer,A-,SP22,326,,
AEM 1500 ,Riley,C+,SP22,3596,,
AEM 2010,Moghimi,A,SP22,145,,
AEM 2100,Van Es,A+,FA20,252,,
AEM 2100,Van Es,,SP22,,,
,Szpiro,A-,FA21,170,,
AEM 2210,,B+,FA21,201,,
AEM 2210,,A-,SP23,231,,
,Alexander,B+,SP21,260,,
AEM 3100,,A,FA21,79,,
AEP 1100,MacMahon,B+,FA21,28,,
AEP 1200,Kourkoutis,B+,FA21,46,crosslisted with ENGRI 1200,
AEP 3200,Kourkoutis,B+,FA21,49,,
AEP 3330,Wickham,B+,FA21,24,,
AEP 3330,Wickham,B+,FA19,32,,
AEP 3610,Fuchs,B+,FA21,23,,
AEP 3620,Wise,B+,SP22,23,,
AMST 1115,Kriner,B+,FA21,247,Be prepared to read a lot if you take class with this professor (crosslist w/ GOVT 1111),
ANSC 4410,McFadden,B+,SP22,14,,
ASTRO 1195,Stacey,B+,FA21,11,,
ASTRO 2212,Nicholson,B+,SP21,14,,
BEE 2510,Goldfarb,B+,FA20,72,Crosslisted with BEE 2510,
BEE 2600,March,B+,FA21,27,,
BIOEE 1610,ƒoce,B+,FA21,282,"Not too bad if you've taken AP Bio before, but tests are weirdly worded sometimes or have trick questions",
BIOEE 1610,Howarth,B+,FA21,227,,
BIOEE 1610,St. Juliana,B+,FA20,231,,
BIOEE 4500,Searle,B+,FA19,,,
BIOG 1445,Campbell,B+,SP21,44,,
,Huffaker/Tumbar,B+,FA21,391,,
BIOMG 1350,"Fromme, Liu",B+,FA22,367,,
BIOMG 2801,Blake,B+,FA22,162,,
BIOMG 3300,Blankenship,B+,SP23,233,,
BIOMI 2600,Winans,B+,SP22,23,,
bme 2,Scheinberg,B+,FA18,452,,
BME 2000,Doerschuk,B+,FA20,45,,
BME 2010,Saikia,B+,FA21,44,,
BME 2210,Saikia,B+,FA21,48,no curve F21,
BME 3010,Saikia,B+,FA21,53,no curve F21,
BTRY 3010,Entner,B+,FA22,145,,
BTRY 3020,Entner,A-,SP23,91,,
BTRY 4030,Giles,B+,SP18,64,,
CEE 3040,Daziano,B+,FA21,87,,
CHEM 1560,Lorey,B+,FA21,130,,
CHEM 2150,Davis,B+,FA21,,,
CHEM 2150,Davis,B+,FA20,60,,
CHEM 2510,Kinsland,B,SP23,382,,
CHEM 2510,Kinsland,B+,FA21,252,,
CHEM 2900,Lorey,B+,SP23,81,,
CHEM 2900,Lorey,B+,SP22,73,,
CHEM 3010,Hyster,B+,SP22,28,,
CHEM 3590,Lin,B+,SP21,54,,
CHEM 3590,Stache,B+,SP22,54,,
CHEM 3600,Milner,B+,FA21,35,,
CHEM 3890,Ezra,B+,FA21,69,,
CHEM 3890,Ezra,B+,FA22,77,,
CHEM 3900,Ezra,B+,SP22,65,,
CHEM 4100,Wilson,B+,SP21,57,,
CHEME 1800,Varner,A,SP23,13,Easiest intro to CS class I've taken in my entire life. It's graded on self improvement - not grades ,
CHEME 2200,Duncan,B,SP23,51,,
CHEME 2880,Paszek,B+,FA19,47,,
CHEME 3230,Hormozi,B,SP23,53,,
CHEME 3230,Hormozi,B+,SP21,x,,
COMM 2850,Schuldt,B+,SP22,86,86,
CRP 3840,Schmidt,B+,FA20,32,,
CS,Sen,B+,SP22,18,Sen did say that the expected median was B+ before the class started,
CS 1110,White,B+,FA21,743,,
CS 1110,White,B+,FA22,739,,
CS 2800,Schalekamp,B+,FA23,411,,
CS 2800,van Zuylen,B+,FA21,366,,
CS 2800,van Zuylen,B+,SP23,315,,
CS 2800,van Zuylen,B+,FA21,321,,
CS 3110,Clarkson,B+,FA21,384,,
CS 3110,Foster/Hsu,B+,SP23,311,,
CS 3410,Bracy,B+,FA21,284,,
CS 3410,Bracy,B+,SP21,268,,
CS 3410,Bracy,B+,FA21,242,242,
CS 3410,Bracy,B+,FA20,146,,
CS 3410,Bracy,B+,FA22,299,,
CS 4110,Foster,B+,FA20,78,,
CS 4410,Alvisi,B+,SP21,279,,
CS 4414,Birman,B+,FA21,110,,
CS 4620,Davis,B+,FA22,111,grade of A is near impossible without putting in extra effort on creative assignments. 100% on assignments correspond to B+,
CS 4700,Hirsh,B+,SP23,140,,
CS 4700,Selman,B+,SP22,147,,
CS 4740,van Schijndel/Lee,B+,FA22,127,,
CS 4740,Lee/Schijndel,B+,FA22,127,,
CS 4780,Damle/Sun,B+,SP21,203,,
CS 4820,Chattopadhyay,B+,SP22,261,,
CS 4820,Kleinberg,B+,SP21,195,,
CS 4820,Kozen,B+,FA20,398,,
CS 4820,Tardos,B+,FA19,440,,
CS 4820,van Zuylen,B+,FA21,243,,
CS 4860,Kleinberg,B+,SP22,50,,
CS 4999,Bob Constable,B+,FA20,22,,
EAS 2550,Pryor,B+,SP22,19,,
EAS 2900,DeGaetano,B+,SP19,69,,
EAS 3410,Mahowald,B+,FA21,32,"With Ault in FA19, median was an A",
ECE 2300,Helbling,B+,FA21,113,crosslisted with ENGRD 2300,
ECE 2400,Zhang,B+,SP21,66,,
ECE 3030,Wagner,B+,SP22,81,Crosslisted with ENGRD 2720,
ECON 1110,Sanders/Thomas,B+,SP21,839,,
ECON 1110,Sanders/Thomas,B+,FA21,861,,
ECON 1110,Wissink,B+,SP22,445,,
ECON 1110,Wissink,B+,SP21,,,
ECON 1110,Wissink,B+,SP23,449,,
ECON 1110,Sanders,B+,FA22,880,,
ECON 1110,Thomas,B+,SP21,,,
ECON 1120,Wissink,B+,FA22,,,
ECON 3801,Wissink,B+,FA20,283,,
ECON 3030,Kircher,B+,SP21,107,,
ECON 3040,ECON 3040,B+,SP23,165,,
ECON 3040,Taschereau-Dumouchel,B+,SP22,149,,
ECON 3040,Taschereau-Dumouchel,B+,SP21,156,,
ECON 3040,Taschereau-Dumouchel,B+,FA21,156,,
ECON 3110,Chahrour,B+,FA21,100,,
ECON 3130,McKee,B+,FA20,116,,
ECON 3140,McKee,B+,FA22,162,,
ECON 4020,Sanders,B+,FA23,116,,
ECON 4260,Denti,B+,FA23,113,,
,Wissink,B+,SP22,70,,
ECON 4660,Wissink,B+,FA22,102,,
,O'Donoghue,B+,SP21,139,,
ENGRD 2250,Doerschuk,B+,FA21,45,Crosslisted with BME 2000,
ENGRD 2550,Pepiot,B+,FA19,184,,
ENGRD 3200,Schalekamp,B+,SP21,186,,
ENGRG 3400,Pepiot,B+,SP23,171,,
ENGRI 1101,MacMahon,B+,FA19,28,,
ENGRI 1160,Van Dover,B+,FA21,63,,
ENGRI 1210,Kourkoutis,B+,FA21,46,crosslisted with AEP 1200,
GERST 2000,Matthias,B+,FA19,16,,
GOVT 1111,Kriner,B+,FA21,247,king,
GOVT 1817,Kreps,B+,FA21,84,,
GOVT 2432,Marmor,B+,FA21,66,crosslisted with PHIL 2430,
HADM 1150,Tang,B+,FA21,123,,
HADM 1210,MacAusland,B+,FA22,116,,
HADM 1210,McAusland,B+,FA19,160,,
HADM 1350,Roberts,B+,FA22,117,,
HADM 1350,McCarthy,B+,FA16,154,,
HADM 1650,Odom-Reed,B+,FA18,119,Avoid this professor.,
HADM 1650,Stewart-Harris,B+,FA21,135,,
HADM 2210,Paz,B+,FA19,,Fall 2021,
HADM 2220,iyer,B+,FA19,148,,
HADM 2250,Carvell,B+,SP20,152,,
HADM 2360,Gaulke,B+,SP22,139,,
HADM 2410, ,B+,SP22,188,,
HADM 2430,LaTour,B+,SP21,136,,
HADM 2550,Chervinsky,B+,SP22,138,,
